,content
4104,India and South Africa have jointly issued Postage Stamps on the theme “125th Year of Mahatma Gandhi’s Pietermaritzburg Station Incident and Birth Centenary of Nelson Mandela”.
4105,The Commemorative Postage Stamps on the above theme depict images of “Mahatma Gandhi” of India and “Nelson Mandela” of South Africa.
4106,Broadband for All & Creating 4 Million Jobs key objectives of NDCP-2018
4107,The National Digital Communications Policy 2018 aims to promote digital communications in India.
4108,"In his inaugural speech, Shri Sinha talked about the objectives and key features of NDCP 2018. Broadband for All and the promise of Creating 4 Million Jobs in the sector are key objectives of the programme."
4109,The Indian Telegraph Right of Way Rules 2016 is an instrument to facilitate smooth execution of digital communications projects across the country.
4110,Shri Sinha attended a seminar on NDCP 2018. He urged the participants to work together for the development of digital communications infrastructure.
4111,"""lndia Post ventures into new arena of e-market place to provide end to end support to rural artisans and online retailers to sell their products using e-Commerce portal of DoP"" "
4112,The Department of Posts has launched e-commerce portal to provide an e-Market place for small and local sellers.
4113,Shri Sinha launched inter-operable internet banking facility for Post Office Savings Bank customers.
4114,"The Department of Posts has launched a scholarship program for school children called Deen Dayal SPARSH (i.e. Scholarship for Promotion of Aptitude & Research in Stamps as a Hobby). The Scheme has caught the imagination of children across the country and the number of children participating has more than trebled from 20,652 to 74,555 children in 2018-19."
4115,Shri Sinha presented the Meghdoot Awards to the Gramin Dak Sewak (GDS) and employees of the Department.
4116,Shri Sinha launched the revamped website of lndia post during the function.
4117,"Shri Sinha said that ""these initiatives are in keeping with the Hon'ble Prime Minister Shri Narendra Modi's vision of bringing governance to the doorstep of our citizens""."
4118,"Shri Sinha also thanked the Media for reporting and publicizing the various initiatives of lndia Post like the Post Office Passport Sewa Kendra, Aadhar Centres, lndia Post Payments Bank and all the other citizen centric initiatives of the Department."
4119,Cabinet approves MoC between India and Japan for Cooperation in the Postal field
4120,The Union Cabinet has approved the Memorandum of Cooperation (MoC) between India and Japan for cooperation in the postal field.
4121,The MoC would help improve postal services and cooperation in the postal field between India and Japan by:
4122,Sharing information and exchanging views based on both sides’ experiences regarding the postal policy;
4123,Promoting discussions to build a cooperative relationship.
4124,Setting up of Postal Services Dialogue for carrying forward cooperation in specific areas mutually decided by Both Sides.
4125,India and Japan have signed a memorandum of understanding (MoU) aimed at enhancing postal cooperation between them.
4126,Cabinet approves MoU between India and Armenia on joint issue of postage stamp
4127,The Union Cabinet has approved the Memorandum of Understanding signed between India and Armenia on joint issue of postage stamp.
4128,"The joint issue of stamps on the theme ""Dence"" was released in August, 2018."
4129,The Commemorative Postage Stamps depict “Manipuri Dance” of India and “HovArek Dance” of Armenia.
4130,Ministry of Communications will play a lead role in spreading the message of Swachhta to masses.
4131,The fortnightly review of cleanliness activities in the Ministry of Communications has provided an opportunity to review the ongoing efforts.
4132,Department of Telecommunications through its telecom service providers has sent out messages to promote the cause of Swachhta.
4133,"The Department of Posts has declared 318 post offices plastic free. The census of trees has been completed in 847 post offices & postal colonies and the remaining is underway. During this fortnight, about 3.5 million people were visited by the Department's postmen and GraminDakSevaks."
4134,Ministry of Communications will continue to work tirelessly even beyond Pakhwada to realize the dream of Swachh Bharat.
4135,"Ministry of Consumer Affairs, Food and Public Distribution celebrates National Consumer Day 2018 with the theme “Timely Disposal of Consumer Complaints”"
4136,New Consumer Protection Bill passed by Lok Sabha will reduce cost and time of litigation and improve consumer grievance redressal process.
4137,"The Department of Consumer Affairs, Ministry of Food and Public Distribution celebrated the National Day 2018 with the theme “Timely Disposal of Consumer Complaints” at Kothari Auditorium, DRDO Bhawan in New Delhi today."
4138,This year's National Consumer Day is being observed at a crucial time when the Government is preparing to repeal the Consumer Protection Act 1986 and bring in a new Act with substantial changes.
4139,The theme for the National Consumer Day 2018 is timely disposal of cases.
4140,Shri Srivastava mentioned about the following four key initiatives taken by the department to reduce costs and ensure timely redressal of consumer grievances:
4141,Strengthening of National Consumer Helpline.
4142,Strengthening of Consumer Forawith new infrastructureandCONFONETwhich is about computer networking of consumer fora.
4143,NCDRC ondirectionsof Supreme Court issued new Regulationsmakingadmission or rejectionof cases in21 days and pronouncing judgment in 45 daysafter final hearing.Model Rules have alsobeen framed for States to recruit qualified personsfor District foraandState Commissions.
4144,"The newConsumer Protection Bill, 2018throughCentralConsumer Protection Authority(CCPA)andalternate dispute resolutionmechanismthroughmediationand simplification of adjudication procedures will result inquick disposal of consumer cases."
4145,"Former Law Secretary, Shri Suresh Chandra delivering his theme address said that Consumer Protection Act is unique in India."
4146,"The president of NCDRC, Justice R. K. Agrawal, has said that performance of the judicial system and development of a nation go hand-in-hand. He also said that the new Consumer Protection Bill 2018 has many provisions empowering consumer commissions and administration to ensure justice reaches the consumer in time."
4147,"The Minister of State for Consumer Affairs, Food and Public Distribution and Commerce & Industry, Shri C. R. Chaudhary, congratulated all Indians on the occasion of National Consumer Day."
4148,"The Consumer Affairs Ministry is trying to create an enabling environment for consumers to get the right goods and services at the right time and place. The quasi-judicial system is being strengthened and streamlined. State governments will adopt uniform recruitment rules, qualifications, selection procedure and salaries to get better qualified people for managing the consumer fora."
4149,Celebration of National Consumer Day
4150,With the theme “Timely Disposal of Consumer Complaints”
4151,"The 24th December is observed as National Consumer Day in India. This year the theme is ""Timely Disposal of Consumer Complaints"". The Consumer Protection Act, 1986 was enacted in 1986."
4152,"The Department of Consumer Affairs, Government of India, will be celebrating the National Consumer Day, 2018with the theme “Timely Disposal of Consumer Complaints” at Kothari Auditorium, DRDO Bhawan, New Delhi where representatives of State Governments, Presidents/Members of the State Commissions, VCOs and Members of the Central Consumer Protection Council will deliberate on the various issues and challenges faced by consumers."
4153,The Consumer Protection Act provides consumers with effective safeguards against different types of exploitation.
4154,"Union Minister of Consumer Affairs, Food and Public Distribution, Shri Ram Vilas Paswan presides over 2nd meeting of Governing Council of Bureau of Indian Standards"
4155,BIS should work towards increasing exports of India.
4156,"The second meeting of the Governing Council of Bureau of Indian Standards (BIS) was held today at Krishi Bhawan, New Delhi."
4157,"In his presidential address, Union Minister Ram Vilas Paswan highlighted some of the important provisions of the BIS Act 2016."
4158,"The Union Minister Ram Vilas Paswan has announced that the standard on gold was revised and published to include only three caratagei.e. 14, 18 and 22 carat for Hallmarking."
4159,The meeting was held to chart the future roadmap for BIS with the objective of zero effect and zero defect to increase exports and increase production.
4160,"Given the importance Prime Minister Narendra Modi led Government places in improving the ease of doing business in India, as well as to attract global investments in the Make in India and Smart cities campaign, BIS plays a key facilitating role in such national programs with the main objective of harmonious development of standards and quality certification in the country to provide quality goods and services to consumers."
4161,"Complaints about irregularities in the functioning of the Public Distribution System (PDS) concerning leakage/diversion of foodgrains, not reaching the intended beneficiaries, issuance of ration cards to ineligible persons are sent to the State/UT Governments concerned for inquiry and appropriate action."
4162,The Department of Food Security allocates foodgrains according to guidelines for various purposes.
4163,"This information was given by the Minister of State for Consumer Affairs, Food & Public Distribution in Lok Sabha today."
4164,"Depending on requirement in specific areas and for modernization of storage facilities, Government has been implementing following schemes for construction of godowns and silos in the country:"
4165,"Private Entrepreneurs Guarantee Scheme: Under this scheme, storage capacity of 141.82 LMT has been created as on 31.10.2018."
4166,"Central Sector Scheme: This scheme is implemented in the North Eastern States along with Himachal Pradesh, Jharkhand and Kerala."
4167,"Construction of Steel Silos: In addition to conventional godowns, construction of steel silos has been undertaken in Public Private Partnership (PPP) mode for modernizing storage infrastructure and improving shelf life of stored foodgrains."
4168,Sufficient storage facilities are available for storage of central pool foodgrains stock in Andhra Pradesh.
4169,There is a storage capacity of 877.37 Lakh MT (Covered – 749.90 LMT and CAP – 127.47 LMT).
4170,"The details of procurement of Rice, Wheat and pulses by FCI and State Government agencies for current marketing season are at Annexure-II."
4171,The storage cost incurred by FCI for storing different grains ingodowns is as given below:-
4172,"This information was given by the Minister of State for Consumer Affairs, Food & Public Distribution to the Lok Sabha today."
4173,"The procurement of paddy rice during Kharif Marketing Season (KMS) 2018-19 is 209.53 LMT, as compared to 191.84 LMT in KMS 2017-18."
4174,No complaint of irregularities in procurement affecting farmers has come to the notice of Department of Food and Public Distribution. Steps are taken to ensure adequate procurement facilities to ensure farmers get minimum support price for their produce.
4175,"Before the onset of each marketing season, Department of Food and Public Distribution, Government of India (GOI) holds a consultative meeting with the officials of Food Corporation of India (FCI), State Governments and others to make an assessment of availability of wheat and paddy/rice for procurement at MSP based on the prospects of production and market situation."
4176,"Minimum Support Price (MSP) operations are given wide publicity through pamphlets, banners, sign boards radio, TV and advertisements through print & electronic media."
4177,Farmers are made aware of the quality specifications and purchase system.
4178,Procurement centres are opened by respective State Government Agencies/ Food Corporation of India (FCI).
4179,FCI and many State Governments have developed Online Systems for procurement.
4180,"This information was given by the Minister of State for Consumer Affairs, Food & Public Distribution in Lok Sabha today."
4181,"As per the guidelines issued by the Government, the AAY families are to be identified by States/Union Territories (UTs) as per the following criteria:"
4182,"(i) Landless agriculture labourers, marginal farmers, rural artisans /craftsmen, such as potters, tanners, weavers, blacksmiths, carpenters, slum dwellers and persons earning their livelihood on daily basis in the informal sector like porters, coolies, rickshaw pullers, hand cart pullers, fruit and flower sellers, snake charmers, rag pickers, cobblers, destitute and other similar categories in both rural and urban areas;"
4183,(ii) Households headed by widows or terminally ill persons/disabled persons/ persons aged 60 years or more with no assured means of subsistence or societal support;
4184,(iii) Widows or terminally ill persons or disabled persons or persons aged 60 years or more or single women or single men with no family or societal support or assured means of subsistence;
4185,(iv) All primitive tribal households;
4186,(v) All eligible Below Poverty Line (BPL) families of HIV positive persons.
4187,"Foodgrains under Antodaya Anna Yojana (AAY) are given family wise, hence, a statement giving States/UTs wise number of families covered under AAY are at Annexure-I."
4188,The number of families covered under AAY is fixed for every State/UT. States/UTs are advised from time to time to review the existing list of AAY families and remove the ineligible households from it.
4189,"This information was given by the Minister of State for Consumer Affairs, Food & Public Distribution in Lok Sabha today."
4190,Government advises Sugar Mills to undertake export of sugar as per their allocated quantity of ‘Minimum Indicative Export Quotas’
4191,Department of Food & Public Distribution monitoring quarterly export targets Sugar Mills to improve their liquidity position and facilitate clearance of farmers’ arrears
4192,The Central Government has fixed minimum export quota for 50 LMT of sugar for mill-wise minimum indicative export quota.
4193,The Central Government has taken serious note of non compliance of the directives of the Government with respect to export of sugar.
4194,The sugar mills are required to set their quarterly export targets and intimate the same to Department of Food & Public Distribution (DFPD).
4195,Year End Review 2018- (Department of Consumer Affairs)
4196,"Ministry of Consumer Affairs, Food & Public Distribution"
4197,"Amendment made in the Legal Metrology (Packaged Commodities) Rules, 2011 to safeguard the interest of consumers and ease of doing business came into force."
4198,Ø Specific mention is made in the rules that no person shall declare different MRPs (dual MRP) on an identical pre-packaged commodity.
4199,"Ø Size of letters and numerals for making declaration is increased, so that consumer can easily read the same."
4200,Ø The net quantity checking is made more scientific.
4201,Ø Bar Code/ QR Coding is allowed on voluntarily basis.
4202,The declarations on food products have been harmonized with regulations under the Food Safety & Standards Act.
4203,The declaration of medical devices as drugs is brought into the purview of declarations to be made under the rules.
4204,The Department of Industries and Associations has given permission to Industries and their Associations to make declarations under the amended rules by affixing sticker or by stamping or online printing or using a tag upto 31.7.2018.
4205,"(2) Permission to display revised MRP due to reduction of rates of GST up to 31st December, 2018:"
4206,The manufacturers and packers of pre-packaged commodities were allowed to declare the revised retail sale price (MRP) in addition to the existing one w.e.f. 1st July 2017 to 30th September 2017.
4207,"Ø Use of unexhausted packaging material/wrapper was also been allowed upto 30th September, 2017 after making the necessary corrections."
4208,"Ø Considering the requests received to extend the permission for some more time it was extended to display the revised MRP due to implementation of GST by way of stamping or putting sticker or online printing further up to 31st March, 2018."
4209,"The government reduced the rates of GST on certain specified items. The permission was granted under sub-rule (3) of rule 6 of the Legal Metrology (Packaged Commodities) Rules, 2011."
4210,"The MRP will reduce in the case of unsold stocks manufactured/packed/imported after 1st July, 2017."
4211,"Ø The above permission/ relaxation were extended upto 31stMarch, 2018."
4212,The Government has further reduced the rates of GST on certain specified items. The earlier Labelling/ Sticker of MRP will continue to be visible.
4213,"Unsold stocks manufactured/packed/imported, or where the MRP would reduce due to reduction in the rate of GST w.e.f. 27th July 2018 until 31st December 2018 or till such date as the packing material or wrapper is exhausted."
4214,Ø Grants in aid were released for the construction of Laboratory Buildings to States / UTs Governments for effective enforcement of weights and measures laws.
4215,"Ø Legal standard equipment have been supplied to State Governments for calibration, verification and stamping of weights and measures and weighing and measuring instruments to ensure the correct quantity delivered to the consumers."
4216,"The training program for the enforcement officers of the State Governments was organised at National Physical Laboratory, New Delhi."
4217,"(4) Initiatives taken for Regional Reference Standards Laboratories at Ahmedabad, Bangalore, Bhubaneswar, Faridabad, Guwahati and Indian Institute of Legal Metrology, Ranchi"
4218,"All RRSLs and Indian Institute of Legal Metrology, Ranchi have been accredited by National Accreditation Board of Laboratories (NABL)."
4219,There are plans to establish new regional reference standards laboratories in Varanasi and Nagpur.
4220,"Ø The up gradation of Regional Reference Standards Laboratory, Bangalore is in progress to make it at par with the best International Laboratories in the field of Legal Metrology."
4221,An advisory has been issued to the Controllers of Legal Metrology of all States/UTs to enforce overcharging and dual MRP.
4222,(ii) To safeguard the interest of consumers advisory has been issued to all State Governments to ensure all declarations including MRP on all medical devices.
4223,(ii) The permission relaxing the manner of declaration of the retail sale price was granted vide order No. WM-10(54)/2016 dated 04.12.2017 and has been extended upto 31.07.2019.
4224,"(iv) Advisory was issued to the Controllers of Legal Metrology of all States/ UTs for compliance of Legal Metrology (Packaged Commodities) Rules, 2011 for sale/ distribution of edible vegetable oil including blended edible vegetable oil."
4225,(6) Action taken to stop fraudulent practices in Petrol/ Diesel dispensers:
4226,(1) E-sealing has been introduced at petrol and diesel retail outlets on pilot basis.
4227,(2) The OMCs are also asked to upgrade the existing Dispensers for the following features:
4228,"(i) To have the facility of generating OTP for any Hardware Change, Pulser validation and Calibration."
4229,"(ii) To change the existing pulser with non-openable, self destructive potted magnetic pulser"
4230,(iv) To upgrade the software encryption.
4231,The permission was granted to install the Vapour Recovery System for green environment and to reduce the petrol vapours at the Retail Outlets.
4232,"Ø To enable dissemination of Indian Standard Time in the country, budget provision has been made by this Department for the dissemination of the same through the five Regional Reference Standards Laboratories located at Ahmedabad, Bengaluru, Bhubaneswar, Faridabad and Guwahati with the cooperation of NPL."
4233,There are seven base units for quantitative measurement.
4234,Time dissemination in India is managed at one level. Indian Standard Time is not adopted by all telecom service providers and internet service providers. 
4235,"Ø Accurate time dissemination as well as precise time synchronization has significant impact on all societal, industrial, strategic and many other sectors like monitoring of the power grid failures, international trade, banking systems, automatic signalling in road & railways, weather forecasting, disaster managements, searching for natural resources under the earth’s crust requires robust, reliable and accurate timing systems."
4236,Buffer stock of upto 20.50 lakh tonnes of pules built through domestic procurement and import for effective market intervention to stabilize their prices.
4237,"As on date, 3.77 lakh MT of pules are available in the buffer after disposal of 16.73 lakh MT from 20.50 lakh tonnes, of which 3.79 lakh tonnes was imported and 16.71 lakh tonnes was procured domestically."
4238,"Of 16.71 lakh tonnes procured domestically, 13.67 lakh tonnes was procured at MSP during 2016-17 and 2017-18, benefitting around 8.49 lakhs farmers."
4239,"Procurement and import of Onions undertaken through NAFED, SFAC and MMTC for stabilising prices of onions."
4240,"Domestic procurement of 13,508 MT of Onions took place under PSF in 2018-19."
4241,"Domestic procurement of 5,131 MT onion took place in 2017-18"
4242,Pulses from the buffer are being utilized for supply to States for distribution under their schemes; Ministries/Departments of Central Government having schemes with nutrition component as well as those providing hospitality services either directly or through Private Agencies.
4243,Pulses from the buffer are being used to meet the requirement of pulses by Army and Central Para-military Forces. Pulses are also being sold through auction in Market. Food Aid has also been provided to Afghanistan and Kerala.
4244,"These interventions, inter-alia, ensured that prices of pulses and onions remain at reasonable level throughout the year."
4245,Strengthening of Price Monitoring Cell(PMC):
4246,"There are new items of funding support for Strengthening of Price Monitoring Cell (PMC) at State level. They include remuneration for a contractual employee at the level of Data Entry Operator (DEO), and provision of a handheld device with geotagging facilities for price collection."
4247,"The Consumer Protection Bill 2018 was introduced in the Parliament on 5th January, 2018."
4248,ii) Faster redressal of Consumer Grievances
4249,iv) Modernizing legislation to keep pacce with ongoing change in market.
4250,The following are the responsibilities of the Bureau of Indian Standards (BIS).
4251,The Bureau of Indian Standards Act 2016 was brought into force with effect from 12th October 2017.
4252,"BIS (Conformity Assessment) Regulations, 2018 notified on 4th Jun 2018."
4253,"BIS (Advisory Committees) Regulations, 2018 notified on 7th Jun 2018."
4254,"BIS (Hallmarking) Regulations, 2018 notified on 14th Jun 2018."
4255,"BIS Rules, 2018 notified on 25th Jun 2018."
4256,"BIS (Powers and Duties of Director General) Regulations, 2018 notified on 29th Aug 2018."
4257,"BIS (Amendment) Rules, 2018 notified on 6th Nov 2018."
4258,"Apart from the above, Gold and Silver artefacts have also been notified as the precious metal articles to be marked with Hallmark on 14th Jun 2018."
4259,Year End Review-2018: Department of Food & Public Distribution 
4260,"Ministry of Consumer Affairs, Food and Public Distribution"
4261,Following are the major highlights of the activities of the Department of Food & Public Distribution during the year 2018:
4262,"Implementation of the National Food Security Act, 2013 (NFSA)"
4263,The National Food Security Act (NFSA) 2013 is fully implemented in all 36 States and UTs. It benefits 80.72 crore people.
4264,The prices of foodgrains specified under NFSA have been extended for a further three years.
4265,"During the Financial Year 2018-19 (upto 05.12.2019), Central assistance of Rs. 2575 cr has been released to State Governments to meet the intra-State movement and handling of foodgrains and fair price shop dealers’ margins. This is the first such arrangement under NFSA. Under erstwhile TPDS, State Governments had to meet this expenditure on their own or pass it on to beneficiaries."
4266,End-to-end Computerization of TPDS Operations
4267,"As an outcome of digitization of Ration Card/beneficiary records, de-duplication due to Aadhaar seeding, transfer/migration/deaths, change in economic status of beneficiaries and implementation of NFSA, a total of 2.75 Crore ration cards have been deleted/cancelled by the State/UT Governments during the years 2013 to 2017."
4268,The Department of Public Distribution is implementing scheme on End-to-end Computerization of TPDS Operations at a cost-sharing basis with the States/UTs.
4269,Key achievements under the scheme are as follows:-
4270,Digitization of ration cards / beneficiaries data
4271,Completed in all States/UTs except UTs of Chandigarh & Puducherry which have adopted DBT/Cash transfer Scheme.
4272,Computerization of Supply Chain Management
4273,"Completed in 25 States/UTs, and the work is in progress"
4274,Toll-free helplines/Online registration facility is available in all States/UTs.
4275,The seeding of Aadhaar numbers of beneficiaries with their ration cards is being done by States and UTs. 85.61% of all ration cards have been seeded.
4276,"As part of the scheme, electronic Point of Sale devices are being installed at Fair Price Shops for distribution of foodgrains through authentication and electronic record-keeping of the sale transactions."
4277,"Intra state portability of ration cards: Facility enabling PDS beneficiaries to lift their entitled foodgrains from any fair price shop in the State has been started fully in Andhra Pradesh, Haryana, Karnataka, Telangana, Maharashtra, Gujarat, Rajasthan, Tripura,Kerala and partially in Madhya Pradesh."
4278,’s Integrated Management of PDS’ (IM-PDS) has been approved.
4279,Annavitran launched ePoS transactions portal for distribution of subsidised foodgrains.
4280,"During KMS 2017-18, a record quantity of 381.84 Lakh MT paddy rice was procured. During RMS 2018-19, a quantity of 357.95 MT of wheat were procured, which is the highest in last five years."
4281,"FCI moves 40 million tonnes of food grains across the country by rail, road, sea, coastal and riverine systems each year. In 2017-18 FCI moved 134 container rakes against the target of 100. In 2018-19, 77 rakes were moved, saving FCI about Rs. 352 Lakhs."
4282,5. Warehousing Development and Regulatory Authority (WDRA)
4283,The process of registration of warehouses with WDRA has been simplified. The new rules will promote increase in the number of warehouses registered and enhance facility of pledge finance for farmers through Negotiable Warehouse Receipts (NWRs).
4284,Electronic Negotiable Warehousing Receipt (eNWR) System and WDRA Portal has been launched to transform the process of registration of warehouses online and to issue e-NWR instead of paper-NWR which will be a more credible financing tool.
4285,"The liquidity position of sugar mills was adversely affected due to overproduction and depressed ex-mill prices of sugar. The amount of outstanding cane price dues reached an alarming level of about Rs.23,232 crores in the last week of May 2018. The Government has taken several measures to improve the liquidity position and clear the arrears."
4286,"In order to prevent cash loss and to facilitate sugar mills to clear cane dues of farmers in time, the Government has fixed a minimum selling price of sugar at Rs.29/kg for sale at factory gate in domestic market, below which no sugar mill can sell sugar."
4287,Extending Assistance to sugar mills @Rs.5.50/quintal of cane crushed for sugar season 2017-18 to offset the cost of cane amounting to about Rs.1540 crore; 
4288,Created buffer stock of 30 LMT in sugar season 2017-18 for which Government will reimburse carrying cost of Rs.1175 crore towards maintenance of buffer stock; 
4289,Extending soft loans of Rs. 6139 crore through banks to the mills for setting up new distilleries and installation of incineration boilers to increase ethanol production capacity.
4290,Extending Assistance to sugar mills @Rs.13.88/quintal of cane crushed for sugar season 2018-19 to offset the cost of cane amounting to about Rs.4163 crore; 
4291,"The government extends assistance to sugar mills for defraying expenditure towards internal transport, freight, handling and other charges to facilitate export of sugar from the country."
4292,Government has notified new National Policy on Bio-Fuels 2018.
4293,"The cane price arrears of farmers have come down to Rs. 5465 crore on State Advised Price (SAP) basis for sugar season 2017-18. On FRP basis, the arrear has come down by about Rs. 1924 crore."
4294,"Sugar production during last season 2017-18 was about 322 Lakh MT, which is highest production so far in the country. Sugar production during current season 2018-19 is estimated to be about 315 LakhMT, almost of the same level as previous season. Government has fixed remunerative price for ethanol produced from B-Hy molasses and diverted sugar from cane juice."
4295,"This information was given by the Minister of State for Consumer Affairs, Food &Public Distribution in Lok Sabha."
4296,Increase in Price of Essential Food Items
4297,"The all India yearly average retail prices of 22 essential food items have declined or remained relatively stable over three years. The prices of food items like pulses, tur, urad, moong, masoor, mustard, groundnut, edible oils, rice, atta, vanaspati oil, soya oil, palm oil, onion, and milk have shown some marginal increase."
4298,"Increase in prices of food items is mainly on account of demand supply mismatch owing to shortfall in production because of adverse weather condition and seasonality, increased transportation costs, supply chain constraints like lack of storage facilities and artificial shortage created by hoarding and black marketing."
4299,Government has taken various measures to stabilize prices of essential food items.
4300,----------------------------------------------------------------------------------------------------------------------
4301,ALL INDIA YEARLY AVERAGE RETAIL PRICES OF 22 ESSENTIAL FOOD ITEMS MONITORED BY DEPARTMENT OF CONSUMER AFFAIRS
4302,Source: - State Civil Supplies Deptt.
4303,"This information was given by the Minister of State for Consumer Affairs, Food & Public Distribution in Lok Sabha."
4304,Government procured about 13.14 lorry loads of pulses from farmers at MSP.
4305,The Union Government procured 34.88 LMT of pulses for various welfare schemes. States/UTs will get Central Subsidy of ₹ 15 per Kg.
4306,The discounted price offered by the Union Government for 34.88 LMT of pulses is below the procurement cost.
4307,"Based on the requests of the States/ UTs, the Union Government procures up to 25% of the actual production of pulses from the farmers at MSP in the respective States/ UTs under the PriceSupport Scheme (PSS)."
4308,"This information was given by the Minister of State for Consumer Affairs, Food & Public Distribution in Lok Sabha."
4309,There is no need for fresh survey of beneficiaries of Antyodaya Anna Yojana or Priority Households Yojna.
4310,"This information was given by the Minister of State for Consumer Affairs, Food & Public Distribution in Lok Sabha."
4311,Sugar production in the previous season was much higher than the consumption. The estimation of similar production for the current season 2018-19 is adversely affecting market sentiments. Ex-mill prices of sugar in the domestic market have fallen sharply. Low realization from sale of sugar due to surplus stock has adversely affected liquidity position of sugar mills.
4312,"With a view to improve the liquidity position of sugar mills enabling them to clear cane price arrears of farmers, the Government has taken the following measures during last few months:-"
4313,"In order to prevent cash loss and to facilitate sugar mills to clear cane dues of farmers in time, the Government has fixed a minimum selling price of sugar at Rs.29/kg for sale at factory gate in domestic market, below which no sugar mill can sell sugar."
4314,Extending Assistance to sugar mills @Rs.5.50/quintal of cane crushed for sugar season 2017-18 to offset the cost of cane amounting to about Rs.1540 crore;
4315,Created buffer stock of 30 LMT in sugar season 2017-18 for which Government will reimburse carrying cost of Rs.1175 crore towards maintenance of buffer stock;
4316,Extending soft loans of Rs. 6139 crore through banks to the mills for setting up new distilleries and installation of incineration boilers to increase ethanol production capacity.
4317,Extending Assistance to sugar mills @Rs.13.88/quintal of cane crushed for sugar season 2018-19 to offset the cost of cane amounting to about Rs.4163 crore;
4318,"The government extends assistance to sugar mills for defraying expenditure towards internal transport, freight, handling and other charges to facilitate export of sugar from the country."
4319,Government has notified new National Policy on Bio-Fuels 2018.
4320,"This information was given by the Minister of State for Consumer Affairs, Food & Public Distribution in Lok Sabha."
4321,Foodgrain Prices Under National Food Security Act
4322,"The highly subsidized prices of foodgrains under the National Food Security Act,2013 have been extended till June, 2019."
4323,The budget for food subsidy in 2018-19 for NFSA is Rs.169123 crore.
4324,"This information was given by the Minister of State for Consumer Affairs, Food & Public Distribution in Lok Sabha."
4325,"During the 11th Plan Period in year 2008, Government has piloted a scheme on Smart Card based delivery of Essential Commodities under TPDS in the UT of Chandigarh and Haryana and Food and Civil Supplies Departments of respective UT/State. The validity of the scheme was extended to 31.03.2019."
4326,"This information was given by the Minister of State for Consumer Affairs, Food and Public in Lok Sabha."
4327,Ministry of Corporate Affairs Year Ender-2018
4328,"Companies (Amendment)Act , 2017 enacted; Out of total 93 Sections , 92 Sections brought into force along with relevant RulesMCA proposes to introduce Companies (Amendment) Bill, 2018 to replace Companies (Amendment) Ordinance 2018 in the ongoing Winter Session of ParliamentInsolvency and Bankruptcy Code (Amendment) Act, 2018 & Insolvency and Bankruptcy Code (Second Amendment) Act, 2018 notifiedNFRA established to enhance investor & public confidence in financial disclosures of companiesE-governance initiatives launched for streamlining various processes"
4329,The Ministry of Corporate Affairs (MCA) has taken several landmark initiatives during last one year.
4330,"The important amendments to the Companies Act and Ordinance 2018 include: establishment of National Financial Reporting Authority (NFRA), amendments in Insolvency and Bankruptcy Code, eKYC drive for Directors of all companies and speedier processing of incorporation related applications."
4331,India has improved its ranking on the World Bank’s “Doing Business” 2019 report.
4332,The details of Year-long achievements for Ministry of Corporate Affairs are as below:
4333,"Till date, all sections of the Companies Act, 2013 [CA-13] except one section viz. Section 465 have been notified. Part of section 2 [clause 67(ix), and part of section 230 are yet to be commenced."
4334,"The Companies Act, 2017 was enacted on 3rd January, 2018. As of now, 92 out of 93 sections have come into force. Commencement of one section (section 81 - relating to Nidhis) requires amendment in 3 sets of Rules and Forms notified under the Companies Act. The Ministry proposes to notify section 81 of CAA-17."
4335,"The Committee to review the existing framework dealing with offences under the Companies Act, 2013 and related matters submitted its report to the Union Minister for Finance & Corporate Affairs. "
4336,"The MCA proposes to introduce a Replacement Bill (viz. Companies (Amendment) Bill, 2018) to replace the Companies Ordinance 2018 in the Winter Session of Parliament."
4337,"In year 2018, the President gave assent to promulgate Insolvency and Bankruptcy Code (Amendment) Ordinance, 2018."
4338,Insolvency and Bankruptcy Code has been effective since 2017. The Code provides strict time limits for various procedures under it. The rich case law has evolved reducing the scope of legal uncertainty.
4339,"The Insolvency and Bankruptcy Code (Amendment) Act, 2018 notified on 19.01.2018 replaced IBC (Amendment) Ordinance, 2018. The Ordinance was promulgated vide notification dated 06.06. 2018. "
4340,NATIONAL FINANCIAL REPORTING AUTHORITY
4341,The National Financial Reporting Authority (NFRA) was notified as an independent regulator for auditing profession. NFRA will review the quality of corporate financial reporting in certain classes and subclasses of companies and take disciplinary action against auditors/audit firms for not discharging their statutory duties with due diligence.
4342,"The Ministry notified the National Financial Reporting Authority Rules, 2018."
4343,"To provide for faster and transparent processes, the MCA took the following major initiatives towards Ease of Doing Business and standardisation:"
4344,"Introduction of ”RUN – Reserve Unique Name” web service for name: Introduced a web base service name as “RUN – Reserve Unique Name” for making the “Name Reservation” process Speedy, Smooth, Simple and reducing the number of procedures with effective from 26th January 2018 for Companies and from 2nd October 2018 for LLPs (Limited Liability Partnership)."
4345,Re-engineering the process of allotment of DIN: Re-engineering the process of allotment of DIN by allotting it through the combined SPICe form only at the time of an individual’s appointment as Director (in case he/she doesn’t have a DIN).
4346,Exemption of MCA fee for company incorporation: A Government process of Re-engineering has been implemented where zero fee for incorporation of all companies with authorized capital upto Rs10 lakh or those companies with no share capital but have upto 20 members.
